Date,vol,por,bmw,ret_vol,ret_por,ret_bmw,sq_vol,sq_por,sq_bmw,q_vol,q_por,q_bmw
2009-01-29,27.12113571166992,24.616134643554688,10.875431060791016,1.2252572973406872,-3.8313457075442314,-3.582729752164915,1.5012554446866053,14.679209930717608,12.835952477047671,175749.0,629474.0,5951883.0
2009-01-30,27.06525611877441,25.202362060546875,11.059664726257324,-0.20603706824660062,2.3814763181988052,1.6940355231575444,0.04245127349165436,5.671429454141737,2.869756353719655,330777.0,1467863.0,3368505.0
2009-02-02,25.312124252319336,24.19427299499512,10.465376853942873,-6.477425740076315,-3.999978506498292,-5.373470959779835,41.9570442182032,15.999828052448304,28.874190155597226,217917.0,1350452.0,4149233.0
2009-02-03,25.08861923217773,24.09117126464844,10.771432876586914,-0.8829959031238732,-0.42614105564572347,2.924462510193626,0.7796817649335445,0.18159619930685159,8.552480973528004,210250.0,1183009.0,3953543.0
2009-02-04,25.731203079223636,24.033891677856445,11.511320114135742,2.561256325424832,-0.23776173504709286,6.868976913527147,6.560033964528714,0.056530642652603984,47.182843838568935,182653.0,1688343.0,4844579.0
2009-02-05,25.3470516204834,23.111711502075195,11.645034790039062,-1.4929401379231155,-3.836998968547811,1.1615928892388272,2.2288702554218913,14.722561084636967,1.3492980403302062,121230.0,1808695.0,4184677.0
2009-02-06,26.541410446166992,23.36373710632324,12.994062423706056,4.712022698207674,1.090467074346324,11.584573665859077,22.20315790842433,1.1891184402334314,134.2023470197156,210089.0,1669266.0,7709504.0
2009-02-09,27.28875732421875,25.775148391723636,13.615089416503906,2.815776801189873,10.321171114135531,4.77931360145587,7.928598994119074,106.52657316726568,22.84183850106108,253766.0,1427100.0,5130212.0
2009-02-10,25.423877716064453,24.744140625,13.258519172668455,-6.833875159640257,-4.000007103954017,-2.6189342789274983,46.701849697548155,16.000056831682603,6.858816757341495,242658.0,866984.0,4963129.0
2009-02-11,25.423877716064453,25.21954727172852,13.436807632446287,0.0,1.921289787078706,1.3447086922449225,0.0,3.6913544459329395,1.8082414669990496,146826.0,934590.0,2681565.0
2009-02-12,24.85113906860352,24.70976829528809,13.4902925491333,-2.2527588193166914,-2.021364503287093,0.3980477963966722,5.074922298009134,4.0859144551490765,0.1584420482162466,131996.0,696797.0,3735094.0
2009-02-13,25.84295463562012,23.90214729309082,14.093490600585938,3.991026585455959,-3.2684280667709675,4.471348929281671,15.928293205816251,10.682622027656205,19.992961247388347,213685.0,794338.0,4828980.0
2009-02-16,26.366792678833008,23.19190216064453,13.885489463806152,2.027005234497703,-2.9714699844209935,-1.4758667151708815,4.108750220681088,8.8296338683149,2.178182560949288,181369.0,381184.0,3874275.0
2009-02-17,25.982643127441406,21.88023567199707,13.029718399047852,-1.4569445592826802,-5.655708960661676,-6.163060128265185,2.1226874488234033,31.987043847708776,37.983310144612076,114025.0,1022829.0,4405770.0
2009-02-18,27.002389907836918,21.393367767333984,12.824691772460938,3.9247230368126385,-2.2251492715235854,-1.5735307572103507,15.403450915687818,4.951289280561943,2.4759990438869797,345098.0,924459.0,3268041.0
2009-02-19,26.82777404785156,20.88932228088379,13.074289321899414,-0.6466681674523911,-2.3560829315514953,1.9462264970332432,0.4181797187962337,5.551126780348288,3.7877975777542887,180436.0,657253.0,3154424.0
2009-02-20,25.661348342895508,19.23971366882324,12.664231300354004,-4.347828868975667,-7.896898663726104,-3.1363694916752616,18.90361587389823,62.36100850515912,9.836813588311339,129647.0,2661893.0,4085103.0
2009-02-23,25.17941665649414,17.315166473388672,11.974859237670898,-1.8780450659163894,-10.002992916433973,-5.44345761170546,3.5270532696128956,100.05986728622824,29.63123077043411,221632.0,1439828.0,3218297.0
2009-02-24,24.09680557250977,16.776756286621094,11.42811679840088,-4.299587630459067,-3.1094716160832148,-4.5657525355292545,18.486453791996613,9.668813731227159,20.846096215691816,218932.0,2158971.0,4515108.0
2009-02-25,24.17363929748535,16.51900291442871,11.772804260253906,0.3188544006149874,-1.536371917126389,3.016135273497178,0.10166812879154286,2.360438667734616,9.097071988033896,201670.0,1249527.0,3992503.0
2009-02-26,25.060680389404297,18.29462432861328,12.078862190246582,3.669456141886007,10.74896241245671,2.5997028679560774,13.46490837722494,115.54019294440717,6.758455001659054,236785.0,3725006.0,3437525.0
2009-02-27,24.879077911376957,18.689844131469727,11.73714828491211,-0.7246510278472784,2.1603056491207084,-2.8290239589818245,0.5251191121601171,4.666920497622845,8.003376560493196,275736.0,1763740.0,2555534.0
2009-03-02,23.90822029113769,18.67265892028809,11.398404121398926,-3.9023054781113897,-0.09194946228953116,-2.886085744938849,15.227988044498161,0.008454703615333913,8.32949092713923,283729.0,1293711.0,2510281.0
2009-03-03,24.439054489135746,18.25453186035156,11.324118614196776,2.2202999283674085,-2.2392475636248577,-0.6517184898076178,4.92973177190832,5.0142296511998605,0.42473698995712206,337292.0,1174483.0,2585630.0
2009-03-04,25.416893005371094,19.319904327392575,12.420576095581056,4.001130717516266,5.836208099945761,9.682497320450878,16.00904701865223,34.06132498587251,93.75075436053844,293383.0,1744157.0,4379366.0
2009-03-05,23.04912376403809,18.09988021850586,11.475661277770996,-9.315730450738602,-6.314855851314505,-7.607656927815432,86.78283383081845,39.877404422881035,57.87644393133814,245633.0,1137495.0,3546395.0
2009-03-06,21.994447708129883,17.57864761352539,11.78468894958496,-4.575775056376519,-2.8797572066114885,2.6928964208151385,20.937717366557532,8.293001569030803,7.2516911332389835,118627.0,1123026.0,4591027.0
