Date,POR,VW,BMW,Vol_POR,Vol_VW,Vol_BMW
2019-12-09,55.976009368896484,157.10154724121094,61.49819564819336,291385.0,484551.0,997359.0
2019-12-10,55.791099548339844,156.99429321289062,61.51499938964844,359164.0,794660.0,1237434.0
2019-12-11,56.17771911621094,159.26390075683594,62.363773345947266,330686.0,914204.0,1257742.0
2019-12-12,57.00139617919922,160.46124267578125,62.86798858642578,373846.0,907633.0,1558232.0
2019-12-13,57.892303466796875,163.78518676757812,63.758785247802734,621786.0,2233831.0,2872500.0
2019-12-16,57.707401275634766,162.83802795410156,63.77558898925781,271097.0,717892.0,1090555.0
2019-12-17,57.21992111206055,161.8194122314453,63.019256591796875,318263.0,658915.0,1688854.0
2019-12-18,57.13587188720703,160.55056762695312,63.16212463378906,354114.0,731439.0,1281740.0
2019-12-19,56.83329772949219,158.24526977539062,62.271331787109375,420203.0,928407.0,1770646.0
2019-12-20,56.76605987548828,158.12017822265625,62.3133544921875,533731.0,1664262.0,3441130.0
2019-12-23,56.513916015625,157.4053192138672,61.80072784423828,174890.0,599601.0,910739.0
2019-12-24,56.513916015625,157.4053192138672,61.80072784423828,174890.0,599601.0,910739.0
2019-12-25,56.513916015625,157.4053192138672,61.80072784423828,174890.0,599601.0,910739.0
2019-12-26,56.513916015625,157.4053192138672,61.80072784423828,174890.0,599601.0,910739.0
2019-12-27,56.48029327392578,157.85211181640625,61.7755126953125,151260.0,394014.0,793381.0
2019-12-30,56.00962448120117,157.47682189941406,61.464576721191406,179127.0,276189.0,467282.0
2019-12-31,56.00962448120117,157.47682189941406,61.464576721191406,179127.0,276189.0,467282.0
2020-01-01,56.00962448120117,157.47682189941406,61.464576721191406,179127.0,276189.0,467282.0
2020-01-02,56.883724212646484,161.28326416015625,62.3721809387207,308905.0,814205.0,1232319.0
2020-01-03,56.32900619506836,157.834228515625,61.615848541259766,307605.0,948457.0,1153245.0
2020-01-06,56.060054779052734,157.8163604736328,61.388954162597656,336483.0,658053.0,1039192.0
2020-01-07,56.749244689941406,157.31597900390625,62.3721809387207,323304.0,932694.0,1302124.0
2020-01-08,56.866920471191406,157.9950714111328,62.53185272216797,301491.0,840853.0,941807.0
2020-01-09,57.925926208496094,162.37339782714844,62.489830017089844,474969.0,1338153.0,1391131.0
2020-01-10,58.715980529785156,165.76882934570312,62.66630554199219,525601.0,1518740.0,1102138.0
2020-01-13,58.43021011352539,165.5543975830078,61.87635803222656,322282.0,812123.0,884147.0
2020-01-14,58.24530792236328,165.50076293945312,61.59904479980469,407299.0,767691.0,979352.0
2020-01-15,57.37120819091797,163.1775665283203,60.666236877441406,492770.0,1068497.0,1607651.0
2020-01-16,57.0181999206543,160.76502990722656,59.80905532836914,476761.0,925738.0,1730300.0
